% channel_1000_DNS_196x160x196_MTF-mtf270_task2
% dt=8.177E-04
%
% node 1: j=10, y=  4.627762402457282E-003, yplus=4.6
% node 2: j=20, y=  1.441392271941726E-002, yplus=14
% node 3: j=40, y=  6.726684638316566E-002, yplus=67
% node 4: j=60, y=  0.253501789943420,      yplus=253
%
%     u1          v1         u2          v2          u3          v3          u4          v4
  3.155505E+00  -9.913495E-02   1.067223E+01  -2.826954E-01   1.630787E+01  -1.207182E+00   2.115961E+01  -4.251410E-01
  3.266124E+00  -8.927142E-02   1.120304E+01  -2.833963E-01   1.624008E+01  -1.268708E+00   2.095879E+01  -3.324122E-01
  3.382004E+00  -6.885698E-02   1.153536E+01  -2.656195E-01   1.616526E+01  -1.268508E+00   2.068463E+01  -2.148172E-01
  3.492806E+00  -4.182350E-02   1.162878E+01  -2.366057E-01   1.609006E+01  -1.203917E+00   2.042822E+01  -1.073519E-01
  3.591594E+00  -1.474215E-02   1.148085E+01  -2.049106E-01   1.602436E+01  -1.079815E+00   2.027308E+01  -3.887469E-02
  3.676397E+00   6.328276E-03   1.112717E+01  -1.768933E-01   1.597317E+01  -9.041042E-01   2.026381E+01  -2.123092E-02
  3.749035E+00   1.849024E-02   1.063145E+01  -1.537529E-01   1.593191E+01  -6.861913E-01   2.038769E+01  -4.606652E-02
  3.811946E+00   2.276959E-02   1.007020E+01  -1.305489E-01   1.588773E+01  -4.389330E-01   2.058193E+01  -9.044237E-02
  3.865027E+00   2.300756E-02   9.517147E+00  -9.821927E-02   1.582453E+01  -1.802562E-01   2.076200E+01  -1.263023E-01
  3.904453E+00   2.381904E-02   9.030531E+00  -4.838256E-02   1.572707E+01   6.856675E-02   2.085301E+01  -1.279318E-01
  3.924101E+00   2.858955E-02   8.644585E+00   2.128424E-02   1.558267E+01   2.873524E-01   2.080849E+01  -7.574517E-02
  3.918541E+00   3.816833E-02   8.366590E+00   1.045915E-01   1.538237E+01   4.614383E-01   2.061442E+01   4.158975E-02
  3.885805E+00   5.069733E-02   8.180849E+00   1.893204E-01   1.512493E+01   5.839514E-01   2.028495E+01   2.247256E-01
  3.828435E+00   6.270761E-02   8.058477E+00   2.628629E-01   1.482376E+01   6.553009E-01   1.985648E+01   4.610975E-01
  3.752518E+00   7.096472E-02   7.968822E+00   3.168933E-01   1.451305E+01   6.806137E-01   1.938210E+01   7.240865E-01
  3.665500E+00   7.395749E-02   7.888049E+00   3.485002E-01   1.424576E+01   6.667651E-01   1.892397E+01   9.756184E-01
  3.573993E+00   7.211311E-02   7.803071E+00   3.585272E-01   1.407893E+01   6.208542E-01   1.854176E+01   1.172465E+00
  3.482489E+00   6.679423E-02   7.711717E+00   3.494411E-01   1.405064E+01   5.504479E-01   1.827960E+01   1.274778E+00
  3.393228E+00   5.903630E-02   7.620916E+00   3.242264E-01   1.416244E+01   4.634168E-01   1.815801E+01   1.254467E+00
  3.306895E+00   4.902674E-02   7.544219E+00   2.862969E-01   1.437825E+01   3.655102E-01   1.817651E+01   1.101278E+00
  3.223632E+00   3.656562E-02   7.499235E+00   2.396978E-01   1.463830E+01   2.579722E-01   1.832480E+01   8.251787E-01
  3.143857E+00   2.191965E-02   7.504987E+00   1.890526E-01   1.487804E+01   1.394077E-01   1.859487E+01   4.544804E-01
  3.068661E+00   6.273052E-03   7.579029E+00   1.391967E-01   1.504350E+01   1.172854E-02   1.898616E+01   3.001908E-02
  2.999774E+00  -8.551073E-03   7.734327E+00   9.471404E-02   1.510071E+01  -1.151135E-01   1.950047E+01  -4.027067E-01
  2.939306E+00  -2.079148E-02   7.976310E+00   5.955097E-02   1.503990E+01  -2.243629E-01   2.012848E+01  -8.007775E-01
  2.889541E+00  -2.931551E-02   8.300903E+00   3.671480E-02   1.487473E+01  -2.993909E-01   2.083455E+01  -1.129038E+00
  2.852905E+00  -3.374366E-02   8.694369E+00   2.799295E-02   1.463740E+01  -3.316095E-01   2.154963E+01  -1.363633E+00
  2.832031E+00  -3.423946E-02   9.135322E+00   3.369624E-02   1.437057E+01  -3.240319E-01   2.218061E+01  -1.493840E+00
  2.829662E+00  -3.126474E-02   9.598435E+00   5.251388E-02   1.411860E+01  -2.882475E-01   2.263498E+01  -1.520126E+00
  2.848215E+00  -2.547007E-02   1.005872E+01   8.157727E-02   1.391977E+01  -2.369555E-01   2.284865E+01  -1.447211E+00
  2.889048E+00  -1.766009E-02   1.049513E+01   1.167781E-01   1.380113E+01  -1.769590E-01   2.280214E+01  -1.275770E+00
  2.951814E+00  -8.704712E-03   1.089270E+01   1.533157E-01   1.377633E+01  -1.070181E-01   2.251860E+01  -1.000196E+00
  3.034323E+00   6.088792E-04   1.124321E+01   1.863752E-01   1.384651E+01  -2.155769E-02   2.204947E+01  -6.171727E-01
  3.133114E+00   9.658515E-03   1.154469E+01   2.117788E-01   1.400345E+01   8.269045E-02   2.145912E+01  -1.413670E-01
  3.244503E+00   1.790679E-02   1.180032E+01   2.264380E-01   1.423362E+01   2.015988E-01   2.081605E+01   3.826924E-01
  3.365603E+00   2.471801E-02   1.201704E+01   2.285034E-01   1.452161E+01   3.228682E-01   2.019062E+01   8.824213E-01
  3.494859E+00   2.925213E-02   1.220411E+01   2.172570E-01   1.485182E+01   4.290990E-01   1.965415E+01   1.273859E+00
  3.631898E+00   3.057809E-02   1.237211E+01   1.929615E-01   1.520787E+01   5.021783E-01   1.927334E+01   1.485897E+00
  3.776885E+00   2.798617E-02   1.253255E+01   1.569183E-01   1.557037E+01   5.266964E-01   1.909814E+01   1.481747E+00
  3.929654E+00   2.132993E-02   1.269782E+01   1.117528E-01   1.591476E+01   4.917793E-01   1.914649E+01   1.268650E+00
  4.088934E+00   1.121021E-02   1.288099E+01   6.157054E-02   1.621148E+01   3.920734E-01   1.939335E+01   8.916817E-01
  4.251896E+00  -1.082560E-03   1.309447E+01   1.146693E-02   1.642974E+01   2.285255E-01   1.977026E+01   4.158085E-01
  4.414246E+00  -1.382894E-02   1.334724E+01  -3.375862E-02   1.654333E+01   8.585382E-03   2.017841E+01  -9.308775E-02
  4.571038E+00  -2.525481E-02   1.364113E+01  -7.113498E-02   1.653577E+01  -2.548069E-01   2.051315E+01  -5.792109E-01
  4.718106E+00  -3.394223E-02   1.396778E+01  -1.003488E-01   1.640280E+01  -5.445774E-01   2.069373E+01  -9.983513E-01
  4.853598E+00  -3.919719E-02   1.430789E+01  -1.233010E-01   1.615413E+01  -8.386711E-01   2.068790E+01  -1.314631E+00
  4.978813E+00  -4.124558E-02   1.463419E+01  -1.427028E-01   1.581651E+01  -1.105902E+00   2.052119E+01  -1.498661E+00
  5.097703E+00  -4.111055E-02   1.491718E+01  -1.606105E-01   1.543411E+01  -1.302333E+00   2.026624E+01  -1.530663E+00
  5.215083E+00  -4.014124E-02   1.513159E+01  -1.776462E-01   1.505803E+01  -1.375180E+00   2.001561E+01  -1.407622E+00
  5.334360E+00  -3.939155E-02   1.526141E+01  -1.931001E-01   1.472448E+01  -1.277666E+00   1.984896E+01  -1.149610E+00
  5.455937E+00  -3.919952E-02   1.530199E+01  -2.056831E-01   1.443795E+01  -9.898991E-01   1.980749E+01  -7.998366E-01
  5.577100E+00  -3.922269E-02   1.525930E+01  -2.145494E-01   1.417896E+01  -5.347389E-01   1.988491E+01  -4.167352E-01
  5.693268E+00  -3.887848E-02   1.514707E+01  -2.201430E-01   1.393774E+01   2.121912E-02   2.003644E+01  -6.165263E-02
  5.799804E+00  -3.785987E-02   1.498285E+01  -2.244164E-01   1.374940E+01   5.828123E-01   2.019886E+01   2.125593E-01
  5.893421E+00  -3.636926E-02   1.478435E+01  -2.302277E-01   1.369687E+01   1.049200E+00   2.031132E+01   3.692523E-01
  5.972741E+00  -3.496272E-02   1.456688E+01  -2.403489E-01   1.386531E+01   1.333651E+00   2.033019E+01   3.919668E-01
  6.038191E+00  -3.421734E-02   1.434226E+01  -2.569737E-01   1.427616E+01   1.376230E+00   2.023688E+01   2.850024E-01
  6.091653E+00  -3.455674E-02   1.411837E+01  -2.822290E-01   1.486359E+01   1.154605E+00   2.004010E+01   7.034430E-02
  6.136060E+00  -3.638501E-02   1.389855E+01  -3.191278E-01   1.552354E+01   6.964307E-01   1.977379E+01  -2.185239E-01
  6.174802E+00  -4.035380E-02   1.368044E+01  -3.717347E-01   1.618424E+01   8.178227E-02   1.949091E+01  -5.437580E-01
  6.210760E+00  -4.742056E-02   1.345476E+01  -4.438401E-01   1.682465E+01  -5.776087E-01   1.925316E+01  -8.686227E-01
  6.245080E+00  -5.850120E-02   1.320502E+01  -5.367334E-01   1.743544E+01  -1.174767E+00   1.911791E+01  -1.160307E+00
  6.276197E+00  -7.385728E-02   1.290970E+01  -6.474764E-01   1.797767E+01  -1.639166E+00   1.912471E+01  -1.391459E+00
  6.299640E+00  -9.261172E-02   1.254717E+01  -7.686683E-01   1.838138E+01  -1.950121E+00   1.928452E+01  -1.542558E+00
  6.308819E+00  -1.127492E-01   1.210337E+01  -8.894775E-01   1.857858E+01  -2.128868E+00   1.957492E+01  -1.605437E+00
  6.296493E+00  -1.316267E-01   1.158006E+01  -9.968031E-01   1.853874E+01  -2.214756E+00   1.994358E+01  -1.585662E+00
  6.256305E+00  -1.466240E-01   1.100125E+01  -1.075691E+00   1.828106E+01  -2.238268E+00   2.032061E+01  -1.500854E+00
